Mediennummer;Autor;Titel;Erscheinungsjahr;Umfang;Genre;Kurze Inhaltsangabe
M593217075 M595661237;Heidenreich / Schroeder;Alte Liebe;2009;190;Belletristik;Lore und Harry sind seit 40 Jahren verheiratet. Während Harry bereits pensioniert ist, ist die Bibliothekarin Lore noch berufstätig. Vor dem gemeinsamen Ruhestand hat Lore ein wenig Angst. Aber die bevorstehende Hochzeit ihrer Tochter bewegt einiges.
M595659294;Heldt, Dora;Tante Inge haut ab;2009;336;Frauen;Urlaub auf Sylt! Freudig begrüßt Christine am Bahnhof ihren Johann, da tippt auch schon das Unheil auf die Schulter. Vor ihr steht ihre Tante Inge. Aber was macht sie allein und dazu mit so vielen Koffern auf Sylt?
M595661107;Henkel, Hans-Olaf;Die Abwracker;2009;255;Wirtschaft;Der aus dem TV bekannte Wirtschaftslobbyist führt die Finanzkrise vor allem auf ordnungspolitische Fehler der Politik(er) zurück, die somit ein guter Teil der Schuld träfe. Zudem seien gute Absichten keine Gewähr, dass in der Wirtschaftspolitik gut gehandelt wird.
M595664657;Henry, Patti Callahan;Leuchtend wie der Horizont;2010;333;Belletristik;Vor 2 Jahren verlor Annabelle Murphy ihren Mann Knox bei einem Flugzeugabsturz. Jetzt erfährt sie, dass neben ihm eine Frau saß. Sie beginnt, Nachforschungen anzustellen.
M595670582;Hildebrandt, D. /Kuballa, F. (Hrsg.);Mein Kriegsende;2010;222;Erlebnisbericht;Prominente Autoren und Künstler wie Gotthilf Fischer, Coco Schumann und Gisela May erinnern sich mit großer Anschaulichkeit an ihre Erlebnisse und Begegnungen in den letzten Kriegstagen.
M595664775;Hilderbrand, Elin;Auf hoher See;2010;381;Frauen;Eine Clique muss den Verlust ihrer Freunde verarbeiten. Manches Geheimnis kommt zutage.
M595664819;Hilmes, Oliver;Herrin des Hügels;2007;493;Biografie;Auf der Basis neuer Quellen zeichnet der Autor das widersprüchliche Leben der Witwe Richard Wagners nach (1837-1930).
M59977854X;Hirschberger, Dieter;Tagebuch des Teufels;2010;288;Krimi;Endlich hat der bisher wenig erfolgreiche Komponist und Dichter E.T.A. Hoffmann im Sommer 1814 in Berlin eine feste Anstellung als Kammergerichtsrat erhalten, da wird er sogleich als beisitzender Richter in einen Mordfall hineingezogen. Gerissene Schwerverbrecher betreiben üble Täuschungsmanöver.
M595665860;Hoem, Edvard;Die Geschichte von Mutter und Vater;2009;220;Geschichte;Edvard Hoem erzählt vom Leben seiner Eltern, bevor sie seine Eltern wurden. Das Buch handelt von ihren Träumen, ihren Hoffnungen und Enttäuschungen, es handelt von der engen Welt des ländlichen Norwegens in den dreißiger und vierziger Jahren des letzten Jahrhunderts.
M595665531;Hölderlin, Friedrich;Sämtliche Gedichte und Kommentare;2005;1.148;Klassiker;Neue textkritische und erstmals umfassend kommentierte Edition.
M599778551;Hültner, Robert;Inspektor Kajetan und die Betrüger;2010;252;Krimi;In den 1920er-Jahren wird der suspendierte Inspektor Paul Kajetan verdächtigt, auf seinen Nachfolger in der Münchner Polizeidirektion einen Mordanschlag verübt zu haben. Verzweifelt versucht er, seine Unschuld zu beweisen und macht sich auf die gefährliche Suche nach dem wahren Täter.
M595665860;Hustvedt, Siri;Die zitternde Frau;2010;235;Autobiografie;Die Autorin erlitt während einer Gedenkrede zum Todes ihres 21/2 Jahre zuvor verstorbenen Vaters einen heftigen Schüttelanfall. Auf der Suche nach der möglicherweise abgespaltenen zitternden Frau in sich, reist sie durch die Historie und Typologie psychophysischer Krankheitsbilder.
M595665697;Ingemarsson, Kajsa;Das große Glück kommt nie allein;2010;573;Frauen;Bestsellerautorin Stella Friedberg lebt in einer perfekten Glitzerwelt. Doch kurz vor der Vollendung ihrer erfolgreichen Krimiserie bricht der schöne Schein zusammen: Der Roman stockt, ihr Freund betrügt sie und in ihrer Designerwohnung richtet ein Wasserschaden heilloses Chaos an.
M595682161;Irving, John;Letzte Nacht in Twisted River;2010;732;Belletristik;Tragik und groteske Komik prägen die Jahre der Flucht eines Vaters mit seinem Sohn vor einem rachsüchtigen Verfolger und werden zum Kernpunkt einer schriftstellerischen Karriere in den USA.
M595664377;Izzo, Jean-Claude;Leben macht müde;2007;102;Anthologie;"Es sind die kleinen Leute, die sich in diesen sieben Geschichten mit den großen Fragen des Daseins konfrontiert sehen: »Die Angst. Das Leben selber.«
So einfach diese Fragen auch zu sein scheinen, so kompliziert sind die Antworten. In den Geschichten geht es um die Suche nach dem unfassbaren Glück und um die Hoffnung, in der Liebe zu sich selbst zu finden. "
M595665194;Izzo, Jean-Claude;Chourmo;2000;268;Belletristik;Der Ex-Polizist Fabio Montale gerät durch Familien- und Freundschaftsbande erneut in den Sumpf aus Korruption, religiösem Extremismus und Schwarzgeldgeschäften.
M595665705;Jaumann, Bernhard;Die Stunde des Schakals;2010;317;Krimi;Ausgehend von einem wahren Mordfall im Jahre 1989, dem der namibische Apartheidsgegner Anton Lubowski zum Opfer fiel, erzählt der Autor in Romanform, wie die Geschichte sich abgespielt haben könnte und porträtiert das Leben im heutigen Namibia.
M595664458;Jelinek, Elfriede;Die Klavierspielerin;1984;351;Belletristik;Erika Kohut, Mitte dreißig und von Beruf Klavierlehrerin, lebt seit der Vertreibung des störenden Vaters eingeschlossen in der trauten Zweisamkeit mit ihrer alten Mutter. Das Hauptproblem ihrer Mutter besteht darin, ihr Besitztum – die Tochter – an sich zu binden, damit die Tochter ja nicht davonläuft.
M595664807;Johnson, Denis;Keine Bewegung!;2010;204;Thriller;Jimmy Luntz' Leidenschaften sind sein Barbershop-Chor und das Glückspiel in all seinen Facetten. Letzteres wird ihm fast zum Verhängnis, als der Geldeintreiber Ernesto Gambol aufkreuzt, um ein Exempel an dem säumigen Schuldner zu statuieren. Jimmy schießt Gambol nieder und ist fortan auf der Flucht.
M59566552X;Johnson, Uwe;Jahrestage;1988;1703;Belletristik;Aus dem Leben von Gesine Cresspahl / Uwe Johnson
M595665170;Kahl, Heinrich;Grootvadder sien Huus;2009;144;Belletristik;Berichte aus den 1920er, 1930er und 1940er Jahren / Heinrich Kahl
M60126364X;Käßmann, Margot;In der Mitte des Lebens;2009;159;Religion;In ihrem Buch geht sie den Themen nach, mit denen sich Menschen in ihrem Alter beschäftigen: Jugend und Alter, Familie, Freundschaft und Alleinsein, Krankheit und Glück u.v.a.
M599778575;Kanon, Joseph;Die Tage vor Los Alamos;2010;444;Krimi;Kurz vor dem ersten Atombombenversuch 1945 wird Mike Conolly als verdeckter Ermittler in ein Forschungszentrum der US-Army eingeschleust, um einen Mordfall aufzuklären. Hochrangige Wissenschaftler arbeiten besessen am bestgehütesten Geheimnis des 2. Weltkriegs.
M595664702;Keller, Gottfried;Romeo und Julia auf dem Dorfe;2009;171;Meistererzählung;"Nach dem Primärtext folgen jeweils Anhänge mit zahlreichen Hintergrundinformationen; abschließend Literaturhinweise sowie Wort- und Sacherläuterungen."
M595664868;Khoury, Raymond;Menetekel;2010;638;Thriller;Während einer Live-Übertragung aus der Antarktis taucht am Himmel ein leuchtendes rundes Objekt auf, das die Klimaforscher vor Ort und das weltweite Fernsehpublikum gleichermaßen fasziniert wie verunsichert. Für die Journalistin Grace beginnt ein lebensgefährlicher Albtraum.
M595665052;Kinau, Rudolf;Dat lütte Rudl-Kinau-Book;2007;126;Plattdeutsch;Ein Spiegelbild seines literarischen Schaffens zwischen 1916 und 1975.
M595664925;Klein Georg;Roman unserer Kindheit;2010;445;Belletristik;Ein halbes Dutzend Kinder erlebt im deutschen Süden der 1960er-Jahre einen bizarren Mix aus süßem Ferienalltag und dunklen Geheimnissen und Ängsten aus der Welt der Großen, die in dieses Idyll einbrechen und das Erwachsenwerden zwischen Ekel und dunkler Traumverlorenheit beschleunigen.
M59566524X;Koidl, Roman M.;Scheißkerle;2010;223;Belletristik;"Tipps zum Erkennen unterschiedlicher Typen von ""Scheißkerlen"" samt ihren betrügerischen Strategien, um heillose Beziehungsmuster zu vermeiden."
