Mediennummer;Autor;Titel;Erscheinungsjahr;Umfang;Genre;Kurze Inhaltsangabe
M595665685;Walls, Jeanette;Ein ungezähmtes Leben;2010;365;Belletristik;"Lily Casey, die Großmutter der Autorin, wurde 1901 in Texas geboren und wuchs auf einer ärmlichen Ranch auf. Sie ritt Pferde zu, pokerte wie der Teufel, fuhr Auto, nahm Flugstunden, wurde wieder Rancherin und war doch Zeit ihres Lebens passionierte Lehrerin. Nachfolgetitel von ""Schloss aus Glas""."
M595665600;Weber, Anne;Luft und Liebe;2010;188;Belletristik;Sie ist nicht mehr ganz jung, als sie ihren Märchenprinzen trifft. Sie schmieden Zukunftspläne, aber bevor die Träume konkret werden, platzen sie wie eine Seifenblase.
M595664738;Weissweiler, Eva;Wilhelm Busch;2007;381;Biographie;"der lachende Pessimist ; eine Biographie"
M595665904;Willemsen, Roger;Afghanische Reise;2006;221;Reisebericht;
M595121895;Williams, Tad;Shadowmarch, Bd 1: Die Grenze;2010;812;Fantasy;"Ganz im Norden erhebt sicht die riesige, labyrinthische Südmarksfeste. Keiner kennt ihr Alter und jahrehundertelang war sie fast vergessen. Doch nun kann ihre einsame Lage an der Grenze zum unheimlichen Reich der Zwielichtbewohner sie nicht länger schützen. südmark wird bedroht. ""Die Grenze"" ist der 1. Bad. des Shadowmarch-Epos."
M598298906;Winder, Simon;Germany oh Germany;2010;462;Geschichte;"Eine ""eigenwillige"" Geschichte der Deutschen und ihrer Kultur - von einem britischen Fan."
M601263508;Abdel-Samad, Hamed;Der Untergang der islamischen Welt;2010;231;Religion;Anhand zahlreicher Beispiele kritisiert der 1972 geborene deutsch-ägyptische Politikwissenschaftler die starre Haltung des Islams gegenüber westlich-liberalen Werten und begründet dies Haltung mit einer fehlenden Aufklärung, ohne die er keine Zukunft für den Islam sieht.
M601263614;Abonji, Melinda Nadj;Tauben fliegen auf;2010;314;Belletristik;Ildikos Familie gehört zur ungarischen Minderheit in Serbien, lebt aber in der Schweiz. Hier sind sie und ihre Schwester aufgewachsen, aber heimisch fühlt sie sich nicht. Heimat bleibt die Vojvodina, der Landstrich in Serbien, in dem die Verwandten leben.
M600050279;Adler-Olsen, Jussi;Schändung;2010;458;Krimi;1987 erschüttert eine Serie brutaler Überfälle ganz Dänemark. Eine Gruppe Jugendlicher aus bestem Hause wird verdächtigt, aber nie verurteilt. 20 Jahre später beginnt Carl Mørck zu ermitteln und stößt hinter der glänzenden Fassade der Reichen und Mächtigen auf einen Abgrund an Menschenverachtung.
M601263626;Allende, Isabel;Die Insel unter dem Meer;2010;552;Belletristik;Zarité lebt als Sklavin in der französichen Kolonie Saint-Domingue (dem heutigen Haiti), Sie erledigt ihre Arbeit und fügt sich scheinbar. Doch Zarité ist klug und stark und träumt von Freiheit. Während der Sklavenaufstände flieht sie nach Kuba und weiter nach New Orleans.
M600050044;Berg, Alex;Machtlos;2010;376;Thriller;"In Hamburg steht ein internationaler Gipfel zum Thema Klima an; die Furcht vor terroristischen Anschlägen setzt die Geheimdienste unter Hochspannung und lässt sie auch unrechtmäßige Maßnahmen ergreifen."
M601263744;Birkegaard, Mikkel;Die Bibliothek der Schatten;2010;509;Belletristik;"Im Antiquariat ""Libri di Luca"" tagt eine Geheimgesellschaft, deren Mitglieder allein durch das Vorlesen andere Menschen beeinflussen können. Bald entdeckt der Sohn von Luca diese Gabe bei sich. Er und seine Freunde müssen gegen eine Schattengesellschaft kämpfen, die diese Gabe missbraucht."
M600050056;Brack, Robert;Und das Meer gab seine Toten wieder;2010;249;Hist. Krimi;Zwei Polizistinnen sind angeblich freiwillig in den Tod gegangen. Hielten sie die Machtkämpfe innerhalb der »Weiblichen Kriminalpolizei« nicht aus oder wurden sie ermordet? Die aufgeladene politische Situation Anfang der 30er Jahre macht die Nachforschungen von Jennifer Stevenson, die die Hintergründe des Polizeiskandals aufklären will, zu einer bedrohlichen Angelegenheit.
M601264008;Christophersen, Jan;Schneetage;2010;366;Belletristik;Schneewinter von 1978/79. Inmitten des übelsten Schneetreibens bricht Paul Tamm, der Wirt des Grenzkrugs. Pauls Ziehsohn Jannis erinnert sich an die zurückliegenden Jahrzehnte, die er in dem deutsch-dänischen Grenzdorf verbracht hat: wie er selbst als Flüchtlingskind von der Familie aufgenommen wurde, wie Paul nach Ende des Krieges aus dem Gefangenenlager zu seiner Familie zurückkehrte und wie die beiden in den folgenden Jahren im Watt auf archäologische Spurensuche gingen. 
M601263675;Coelho, Paulo;Der Sieger bleibt allein;2009;498;Belletristik;Während der glamourösen Filmfestspiele kommt es in Cannes zu einer Reihe von Morden, die auf das Konto eines russischen Millionärs gehen, der mit seiner Ex abrechnen will, die inzwischen mit einem arabischen Modezaren liiert ist.
M600050162;Connelly, Michael;So wahr uns Gott helfe;2010;511;Thriller;Strafverteidiger Mickey Haller übernimmt nach 2-jähriger Pause die Aufgaben eines ermordeten Kollegen. Er stürzt sich voll in seine Aufgaben, hat auch einige Erfolge, doch der Fall des Film-Tycoons Elliot, der seine Frau und deren Liebhaber umgebracht haben soll, stellt ihn vor größte Probleme.
M588057969;Cornwell, Bernard;Der weiße Reiter;2007;509;Hist. Roman;Ende des 9. Jahrhunderts haben die dänischen Eroberer alle fünf englischen Königreiche unterjocht. Das gesamte Land der Angelsachsen ist in der Gewalt der Invasoren – mit Ausnahme eines kleinen Sumpfgebietes. Hier hält sich König Alfred von Wessex mit wenigen Getreuen versteckt. Uhtred, Krieger in Alfreds Diensten, kennt die Übermacht des dänischen Heeres genau.
M600050137;Cornwell, Bernard;Die Herren des Nordens;2008;480;Hist. Roman;Uhtred, der Krieger, hat in der Schlacht von Ethandun das letzte englische Königreich gerettet. Nun kehrt er zurück in seine vom Krieg erschütterte Heimat. Tritt ein in den Dienst König Guthreds von Northumbrien, den er selbst aus dänischer Gefangenschaft befreit hat. Doch sein neuer Herr verrät ihn. An die Ruder eines Sklavenschiffs gekettet, beginnt für Uhtred eine Reise ins Ungewisse.
M600050125;Cornwell, Bernard;Das brennende Land;2010;510;Hist. Roman;"Fortsetzung von ""Schwertgesang"": Blutige Schlachten gegen dänische Invasoren zur Zeit des englischen Königs Alfred (848 bis 898) fordern vom Helden Kampfesmut und strategisches Geschick."
M600050020;Cornwell, Bernard;Schwertgesang;2009;478;Hist. Roman;Wir schreiben das Jahr 855, und nahezu ganz England ist unter dänischer Herrschaft. Erbittert wehrt sich Uhtred mit seinen Mannen in Wessex gegen die Nordmänner. Er soll im Auftrag König Alfreds die Stadt Lundene zurückerobern, um die Schifffahrt und den Handel über die Themse unter Kontrolle zu bringen. Aber Uhtred erhält für seinen Einsatz keinen adäquaten Lohn. I
M60005007X;Cronin, Justin;Der Übergang;2010;1.019;Belletristik;Mit der entführten 6-jährigen Amy will eine militärische Forschungseinrichtung in Colorado menschliche Unsterblichkeit erreichen, was eine Welle von Gewalt und Zerstörung auslöst.
M600050093;Dorn, Wulf;Kalte Stille;2010;445;Thriller;Psychiater Jan Forstner kehrt in seine Heimatstadt zurück und wird noch immer von der Frage gequält, wohin sein kleiner Bruder vor vielen Jahren in einer kalten Winternacht verschwunden ist.
M592824930;Durst-Benning, Petra;Die russische Herzogin;2010;510;Hist. Roman;"Fortsetzung des Romanes ""Die Zarentochter"", der neben dem weiteren Lebensweg der späteren Königin Olga von Württemberg auch die Entwicklung der Wera Romanow, einer Nichte Olgas, beleuchtet. Diese gelangt als Wildfang in jungen Jahren an den Hof der Tante und findet ihr Glück in Württemberg"
M592824966;Falcones, Ildefonso;Die Pfeiler des Glaubens;2010;926;Hist. Roman;Andalusien, 1568. Nach langer Repression bricht sich bei den Mauren der Freiheitswille Bahn gegen die christlichen Unterdrücker. Der junge Hernando versucht, seine muslimischen Glaubensbrüder vom Blutvergießen abzubringen. Aussöhnung wird zu seiner Lebensaufgabe.
M601263906;Feldenkirchen, Markus;Was zusammengehört;2010;318;Belletristik;Der Investmentbanker Benjamin erzählt von seiner Geschäftsreise, die ihn im Zusammenhang mit der Großbanken-Pleite nach Irland führt, und von seiner nie vergessenen Jugendliebe, der Irin Victoria.
M60126401X;Flügge, Manfred;Die vier Leben der Marta Feuchtwanger;2010;431;Biografie;Muse, Grande Dame, Ikone des deutschen Exils. Marta Feuchtwanger gehört zu den großen Dichterfrauen des 20.Jahrhunderts. Manfred Flügge erzählt das Leben dieser außergewöhnlichen Frau.
M600050032;Fohl, Dagmar;Die Insel der Witwen;2010;273;Hist. Roman;Eine schicksalhafte Liebe verbindet die schöne Witwe Keike mit dem verheirateten Erbauer des neuen Leuchtturms. Die ungewöhnliche Liebesgeschichte spielt Mitte des 19. Jahrhunderts auf einer friesischen Insel, auf der Armut und Tod herrschen.
;;;;;;
M601263980;Fournier, Jean-Louis;Umgebracht hat er keinen;2010;118;Belletristik;Mit dem unbestechlichen Blick des Sohnes und überraschendem Humor erzählt Jean-Louis Fournier von seinem Vater: einem Landarzt und Alkoholiker, einem Mann, der stets Dr. Jekyll und Mr. Hyde war.
M601263699;Franzen, Jonathan;Die Korrekturen;2003;780;Belletristik;Nach fast fünfzig Ehejahren hat Enid Lambert nur ein Ziel: ihre Familie zu einem letzten Weihnachtsfest um sich zu scharen. Doch Parkinson hat ihren Mann Alfred immer fester im Griff, und die drei erwachsenen Kinder durchleben eigene tragikomische Malaisen.
M60126349X;Franzen, Jonathan;Freiheit;2010;730;Belletristik;Der Roman einer Familie ist zugleich ein Epos der letzten 30 Jahre amerikanischer Geschichte.
M600050081;Gabaldon, Diana;Echo der Hoffnung;2009;1013;Hist. Roman;Im 7. Band der Highland-Saga sieht es um 1777 im Unabhängigkeitskrieg gegen die Briten nicht gut aus für den rebellischen Clanführer Jamie Fraser. Er will mit siener zeitreisenden Frau Claire dennoch zu den schottischen Highlands zurückkehren, wo auch Tochter Brianna lebt.
M592819237;Gavalda, Anna;Ein geschenkter Tag;2010;138;Belletristik;Eine spontane Landpartie wird für 4 Geschwister zu einem fröhlichen und rührenden Abschied von einem Stück Kindheitsglück.
M600050218;George, Elisabeth;Wer dem Tod geweiht;2010;829;Krimi;Ein lange zurückliegendes grausames Verbrechen führt in London zu einem weiteren Mord. Ein schwieriger Einstand für Detective Superintendent Isabelle Ardery bei New Scotland Yard und so bittet sie ihren Vorgänger, Inspector Lynley, um Hilfe.
M601263719;Goldmann, Francisco;Der himmlische Gemahl;2008;701;Hist. Roman;Vielschichtiger Gesellschaftsroman, der die Zeit der großen Freiheitskämpfe im hochexplosiven Lateinamerika Ende des 19. Jahrhunderts spiegelt.
M601263663;Goldsmith, Barbara;Marie Curie;2010;255;Biografie;Eine aktuelle, auf fundierten Recherchen basierende Biografie, in der nicht nur Leben und Werk, sondern auch die Persönlichkeit der weltberühmten Wissenschaftlerin Marie Curie eindrucksvoll beschrieben werden.
M601263594;Görtemaker, Heike B.;Eva Braun;2010;366;Biografie;Diese Biografie der Eva Braun zeigt ihre Bedeutung im Beziehungsgespinst um Hitler, ihre Bestätigung seiner Politik bis zuletzt.
M601263545;Grass, Günter;Grimms Wörter;2010;357;Belletristik;Günter Grass erzählt das Leben der Brüder Grimm, die sich mit ihrem Wörterbuch eine Herkulesarbeit aufgebürdet hatten, die nicht zu bewältigen war. Gleichzeitig analysiert Grass mit Bezügen zur Geschichte den Reichtum der deutschen Sprache.
M601264021;Hamburger Abendblatt;In Hamburg sagt man Tschüss;2010;203;Biografie;Erinnerungen an Heidi Kabel
M601263756;Hampel, Thomas (Hrsg.);HafenCity+Speicherstadt;2010;280;Hamburg;Das maritime Quartier in Hamburg.
M601263570;Hawking, Stephen;Der große Entwurf;2010;189;Naturwissensch.;Die Philosophie als Welterklärung ist tot, an ihre Stelle tritt die M-Theorie als Vereinigung aller Stringtheorien, das Universum resp. Multiversum hat sich selbst erschaffen: Hawkings vieldiskutierte These in leicht verständlicher Darstellung.
M601263813;Hosseini, Khaled;Tausend strahlende Sonnen;2007;381;Belletristik;Roman um 2 Frauen, die vor dem Hintergrund der Wirren der jüngeren afghanischen Geschichte ein stets bedrohtes Leben führen, das aber auch Momente der Liebe enthält.
M601263886;Hürlimann, Thomas;Vierzig Rosen;2006;363;Belletristik;Marie Meier, geb. Katz, bekommt jedes Jahr von ihrem Politikergatten Max 40 Rosen zum Geburtstag, als Zeichen seiner Liebe für die ewig junge Gemahlin. An einem dieser Tage lässt Marie ihr Leben Revue passieren.
M601263403;Jäckel, Karin;Deutschland ein Märchenreise;2010;188;Märchen;Reise durch Deutschlands Märchen und Sagen - von der schönen Undine vom Mummelsee über die heilige Elisabeth von Thüringen, vom Klabautermann über die Bremer Stadtmusikanten, von Till Eulenspiegel über die Heinzelmännchen von Köln bis zur Lorelei.
M601263687;Kertesz, Imre;Roman eines Schicksallosen;1999;286;Belletristik;Ein Roman über Auschwitz und Buchenwald mit den Augen eines Kindes, das deportiert wird
M600050019;Klausner, Uwe;Odessa-Komplott;2010;278;Krimi;Berlin 1948,die Leiche einer Stadtstreicherin wird gefunden ein Fall für Hauptkommissar Tom Sydow
M600050007;Kleemann, Ernst;Meise greift ein;2010;192;Krimi;Der Hamburger Privatdetektiv Kai Meisenberg ermittelt in einem finanziell lukrativen, aber extrem gefährlichen Fall. Er soll das Verschwinden von Tim Wessenberg aufklären, der sich als Gelegenheitsjournalist intensiv mit der Enthüllung eines Skandals in Reihen der Fremdenlegion beschäftigt hat.
M600050174;Koch, Herman;Angerichtet;2010;308;Belletristik;In einem schicken Restaurant treffen sich 2 unterschiedliche Ehepaare. Während das Diner abläuft, wird deutlich, dass die beiden pubertierenden Söhne der Paare etwas Schreckliches ausgefressen haben.
M588057970;Kornbichler, Sabine;Die Todesbotschaft;2010;430;Krimi;Gesa soll versucht haben, ihr Baby von einem verheirateten Mann umzubringen. In Finjas und befreundeten Familien mit gemeinsamer Wirtschaftsdetektei sterben in kurzer Zeit 6 Menschen. Hat diese Detektei mit den vielen Todesfällen zu tun?
M600050186;LeCarre, John;Verräter wie wir;2010;414;Thriller;Der russische Gangsterboss Dima fürchtet, liquidiert zu werden. Daher nimmt er, mithilfe des Liebespaares Gail und Perry, Kontakt zum britischen Geheimdienst auf und versucht, im Austausch gegen Informationen Schutz für sich und seine Familie zu erlangen.
M600050267;Leon, Donna;Das Mädchen seiner Träume;2009;350;Krimi;Ein Mädchen treibt tot im Canal Grande und wird von niemandem vermisst. Brunetti aber geht die 11-Jährige bis in die Träume nach. Aus einem venezianischen Palazzo kommt sie nicht, wohl aber aus einer Wagenburg auf dem Festland ... (Verlagstext) *** Dieser Titel kann für Sie ab sofort vorgemerkt werden. Die Auslieferung durch die ekz erfolgt unmittelbar nach Erscheinungstermin - unabhängig von der später folgenden bibliothekarischen Begutachtung. . - Ein 11-jähriges Mädchen treibt tot im Canal Grande. Niemand meldet ein Kind als vermisst: Commissario Brunettis 17. Fall führt ihn von den Auffanglagern der Ärmsten bis in die Palazzi der Wohlsituierten.
M592824991;Lorentz, Iny;Die Ketzerbraut;2010;719;Belletristik;München Anfang des 16. Jahrhunderts: Auf dem Weg nach Innsbruck zu ihrem Bräutigam wird die schöne Veva entführt und nach wenigen Tagen wieder befreit. Aber jetzt gilt sie nicht mehr als unberührt und wird einem Weiberhelden und Kirchengegner zur Frau gegeben ...
M59282498X;Lupton, Rosamund;Liebste Tess;2010;383;Thriller;Beatrice wird nach London gerufen, wo ihre schwangere Schwester Tess verschwunden ist. Bald darauf wird Tess tot aufgefunden. Mit der Selbstmordtheorie der Polizei kann Beatrice sich nicht abfinden und ermittelt auf eigene Faust.
M601263825;Mandela, Nelson;Bekenntnisse;2010;457;Tagebuch;Nelson Mandela in seinen eigenen Worten: Briefe, Tagebuchnotizen, Kalendereinträge sowie der unvollendet gebliebene Entwurf zur Fortsetzung seiner Autobiographie.
M60005022X;Mantel, Hilary;Wölfe;2010;767;Historisch;Der historische Roman vermittelt ein eindrucksvolles Bild der Zeit des Tudorkönigs Heinrich VIII. und des Machtkampfes der beiden Gegenspieler Thomas Cromwell und Thomas Morus aus einer ungewöhnlichen Perspektive.
M600050150;McEwen, Paul;Spiral;2010;388;Thriller;Liam Connor hält eine Biowaffe geheim, den Uzumaki-Pilz, der starke Wahnvorstellungen hervorruft und schließlich zum Tod führt. Als Connor gefoltert wird und stirbt, möchten seine Enkelin Maggie und sein Mitarbeiter Jake verhindern, dass der Pilz in die falschen Hände gelangt, kommen jedoch zu spät.
M601263837;Morrison, Toni;Gnade;2010;217;Belletristik;Vielstimmig erzählter Roman aus der Anfangszeit der Sklaverei und des aufkommenden Rassismus in Virginia um 1680.
M601263602;Mosebach, Martin;Was davor geschah;2010;329;Belletristik;Das Ehepaar Rosemarie und Bernward Hopsten sonnt sich im öffentlichen Glanz der feinen Gesellschaft von Frankfurt am Main. Als sich Bernward in die Frau seines Freundes verliebt, wird mit Bekanntwerden der Liäson das Leben beider Familien und das der Kinder völlig durcheinandergewirbelt
M601263918;Murakami, Haruki;1Q84;2010;1021;Belletristik;Tengo soll den Roman der 17-jährigen Fukaeri überarbeiten, damit sie einen Literaturpreis bekommt. Aomame ist nach einem Auftragsmord an einem reichen Ölhändler in einer Parallelwelt gefangen. Um diese Sphäre vom gewöhnlichen Leben im Jahr 1984 zu unterscheiden, gibt sie der neuen unheimlichen Welt den Namen 1Q84.
M601263850;Nafisi, Azar;Die schönen Lügen meiner Mutter;2010;392;Autobiografie;Autobiografische Familiengeschichte vor dem Hintergrund der islamischen Revolution im Iran.
M601263569;Nagel, Christoph u. Pahl,Michael;"FC St.Pauli,das Buch; der Verein und sein Viertel";2009;415;Geschichte;
M601263768;Nemirovsky, Irene;Herr der Seelen;2009;286;Belletristik;"1920er Jahre in Nizza; Ein Arzt bekommt keine Berufschancen, bis er eine neue  Heilungsmethode  ""erfindet"" und nun sozusagen als "" Scharlatan"" durch die ""Reichen und Schönen"" selbst reich wird."
M592824954;Nesser, Hakan;Die Perspektive des Gärtners;2010;316;Krimi;Sarah, die kleine Tochter von Erik und Winnie, wurde entführt und kehrt nicht zurück. Nach über einem Jahr zieht das Ehepaar von Europa nach New York. Dort bekommt Winnie Signale, dass Sarah noch lebt. Schließlich verschwindet auch sie und Erik versucht, hinter ihr Geheimnis zu kommen.
M600050068;Oelker, Petra;Die Nacht des Schierlings;2010;475; Hist. Krimi;Hamburg im Herbst 1773. Konditormeister Hofmann wird tot im Morast gefunden. Viele könnten als Täter infrage kommen, denn er hatte etliche Feinde. Doch ausgerechnet der Großkaufmann Claes Herrmanns wird verdächtigt. Ein neuer Fall für die Komödiantin Rosina und Weddemeister Wagner.
M601263849;O'Nan, Stewart;Alle, alle lieben dich;2009;410;Belletristik;Nach einem Bad im Fluss macht sich Kim auf den Weg zum Schnellrestaurant, in dem sie arbeitet. Dort kommt sie nie an. Alle, die nach ihr suchen, hoffen, dass Kim heil zurückkommt oder dass in Kingsville Ruhe einkehrt, damit die Geheimnisse, die jeder verbirgt, auch welche bleiben.
M601263557;Palma, Felix J.;Die Landkarte der Zeit;2010;715;Belletristik;"Per Zeitreise in die Vergangenheit versucht ein junger Mann, den grausigen Mord an seiner Liebsten ungeschehen zu machen. Im viktorianischen London spielender Roman, inspiriert von Herbert G. Wells' berühmtem Roman ""Die Zeitmaschine""."
M592824978;Pfaue, Justus;Ein Paradies für alle;2010;440;Belletristik;Die Geschichte der Familie Wertheim, die es zu Beginn des 20. Jahrhunderts mit seinem Warenhaus in Berlin aus ärmsten Verhältnissen zu großem Wohlstand gebracht hat: Im Mittelpunkt der spröde Georg Wertheim und seine junge Lebensgefährtin Hanna.
M588057982;Picoult, Jodi;Zeit der Gespenster;2010;463;Belletristik;Ross Wakeman scheint einen nimmermüden Schutzengel zu haben, denn Unfälle und andere Gefahren können ihm nichts anhaben. Die Menschen in Comtosook halten ihn für den Richtigen, Geister zu vertreiben, doch das geht nicht so glatt wie gewünscht ...
M601263707;Precht, Richard David;Die Kunst, kein Egoist zu sein;2010;544;Wissenschaft;Unterhaltsame und sachkundige Suche nach dem Wesen des moralischen Verhaltens beim Menschen, kombiniert aus Erkenntnissen der Philosophie, Psychologie und Verhaltensforschung.
M601263427;Rachman, Tom;Die Unperfekten;2010;395;Belletristik;Der Autor stellt in seinem Roman Reporter, Redakteure sowie eine Leserin einer internationalen Zeitung mit Sitz in Rom in ihrer Unvollkommenheit dar. Dazu umreißt er in kürzeren Abschnitten die Geschichte der Zeitung.
M600050255;Read, Cornelia;Schneeweißchen und Rosentot;;;;
M601263732;Reichs, Kathy;Das Grab ist erst der Anfang;2009;383;Thriller;Die Forensikerin Tempe Brennan erwacht und muss feststellen, dass sie sich in einem sehr dunklen und kalten Raum befindet, an Händen und Füßen gefesselt. Mühsam versucht sie sich zu erinnern, wie sie in diese Lage gelangt ist.
M601263898;Ringelnatz, Joachim;Nach Berlin, nach Berlin, nach Berlin;2009;249;Belletristik;Gedichte, Prosa und Dokumente aus der Berliner Zeit
M601263415;Ruiz Zafon, Carlos;Der Mitternachtspalast;;;;
M592824942;Safier, David;Plötzlich Shakespeare;2010;315;Belletristik;"Gerne wäre die Grundschullehrerin Rosa mit ihrer großen Liebe Jan vor den Traualtar getreten. Fehlanzeige. Dafür befördert sie ein Magier ins Elisabethanische Zeitalter. Rosa findet sich im Körper von William Shakespeare wieder, zusammen mit ihm. Der ist nicht ""amused""."
M600050149;Sarrazin, Thilo;Deutschland schafft sich ab ;;;;
M601263720;Schmidt, Helmut (Hrsg.);Vertiefungen;2010;334;Politik;"Protokolle der Hamburger ""Freitagsgesellschaft"": Vorträge zu Kunst, der globalisierten Welt, Naturwissenschaften, sowie Religion und Geschichte. "
M601263793;Schmidt, Loki; Auf dem roten Teppich und fest auf der Erde;;;;
M60 126 377 X;Schmitz-Köster;Deutsche Mutter, bist du bereit … ;2010;412;Geschichte;Die Autorin versucht in ihrer sorgfältigen Recherche (Archivstudien, Quellenmaterial, Zeugenbefragung) den Spekulationen und Legenden auf den Grund zu gehen und den Mythos von den NS-Zuchtanstalten, den Mütter- und Kinderheimen der SS, zu enttarnen.
M601263521;Segev, Tom;Simon Wiesenthal;2010;574;Biographie;Der Nazijäger Wiesenthal (1908-2005) machte es sich nach seiner Befreiung aus dem KZ zur Lebensaufgabe, NS-Verbrecher aufzuspüren. Eine Würdigung von Leben und Werk einer herausragenden, aber auch sehr widersprüchlichen und umstrittenen Persönlichkeit des 20. Jahrhunderts.
M60 126 351 X;Sezgin, Hilal;Mihriban pfeift auf Gott;2010;349;Belletristik;"Mihriban ist Deutsch-Türkin, lebt in Berlin, ihr Lebensinhalt sind ihr ""kleiner"" Bruder Mesut und dessen Tochter. Doch plötzlich deuten alle Anzeichen darauf hin, dass Mesut an einem Terroranschlag beteiligt war. Köstliche Mischung aus Geheimdienst-Story, Liebesgeschichte und Gesellschaftsroman."
M60 126 403 3;Skrentny, Werner/Prüß, Jens;"Mit der Raute im Herzen; die große Geschichte des HSV";2008;472;Geschichte;die große Geschichte des HSV
M601263801;Sommer, Theo;Unser Schmidt;2010;416;Biographie;"Der Journalist Theo Sommer, wie Helmut Schmidt ehemaliger Herausgeber der ""ZEIT"", erzählt persönliche Erlebnisse und verbriefte Tatsachen aus dem Leben des bei Parteigenossen und politischen Gegnern geschätzten und respektierten Staatsmannes und Publizisten."
M601263638;Torday, Paul;Charly Summers;2010;287;Belletristik;Amüsanter Gesellschaftsroman, der in der englischen Brokerszene spielt. Der Hedgefondsbesitzer Bilbo Mountwilliam ködert seinen alten Freund Eck mit einem einträglichen Job. Eck soll ihm finanzkräftige Leute zuführen, damit Bilbo in die Top Ten des Finanzwesens aufsteigen kann.
M601263874;Tyler, Anne;Verlorene Stunden;2010;303;Belletristik;"Seit er bei einem Überfall k.o. geschlagen wurde, hat der 60jährige Liam Pennywell eine Gedächtnislücke von mehreren Stunden. Als er die junge Eunice kennenlernt, die für einen Demenzkranken als ""Erinnerungshilfe"" arbeitet, ist er sofort fasziniert."
M601263651;Walser, Alissa;Am Anfang war die Nacht Musik;2010;253;Belletristik;In ihrem 1. Roman schildert Alissa Walser das abenteuerliche Leben und Wirken des Arztes Franz Anton Mesmer (1734-1815) am Vorabend der Französischen Revolution.
M601263582;Willemsen, Roger;Die Enden der Welt;2010;542;Belletristik;Roger Willemsen hat seine eigene Topografie über die Enden der Welt entworfen: Patagonien, Kamtschatka, Sibirien, Südafrika, Timbuktu.
M600050101;Winslow, Don;Tage der Toten;2010;689;Thriller;US-Drogenfahnder Art Keller nimmt den Kampf gegen die mexikanische Drogenmafia auf. Als sein Mitarbeiter ermordet wird, schwört er Rache und beginnt einen gnadenlosen Feldzug gegen die Mafiabosse. Doch auch in Washington nimmt die Zahl seiner Feinde zu ...
M600050206;Wolf, Klaus-Peter;Todesbrut;2010;480;Thriller;Eine besonders aggressive Variante des Vogelgrippen-Virus' versetzt die gesammte Welt in Angst und Schrecken. Auch in der Region Ostfriesland werden die Menschen von einer Panik ergriffen, die zu dramatischen Auseinandersetzungen führt.
M600050243;Zweig, Stefanie;Die Kinder der Rothschildallee;2009;378;Belletristik;Schicksal der jüdischen  Familie Sternberg in Frankfurt  in den Jahren 1926 bis 1937 
M60 005 019 8;Zweig, Stefanie;Das Haus in der Rothschildallee;2009;280;Belletristik;Schicksal der jüdischen  Familie Sternberg in Frankfurt  in den Jahren 1900 bis 1916 mit einer Fülle von historischen Details.
M601263992;Schmachthagen, Peter;Sprechen Sie hamburgisch ?;2009;319;Hamburg;Allerlei Begriffe aus der Zeit, als Grossmutter ´n lütt Deern weer.
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
